Month,package,count
2018-01-01,caret,78917
2018-01-01,data.table,208310
2018-01-01,dplyr,336672
2018-01-01,e1071,82930
2018-01-01,ggplot2,408672
2018-01-01,keras,7573
2018-01-01,shiny,149860
2018-01-01,tensorflow,9240
2018-01-01,tidyverse,113323
2018-02-01,caret,71099
2018-02-01,data.table,193170
2018-02-01,dplyr,291433
2018-02-01,e1071,78232
2018-02-01,ggplot2,366247
2018-02-01,keras,9106
2018-02-01,shiny,143722
2018-02-01,tensorflow,8702
2018-02-01,tidyverse,100308
2018-03-01,caret,101269
2018-03-01,data.table,244143
2018-03-01,dplyr,382096
2018-03-01,e1071,113180
2018-03-01,ggplot2,495357
2018-03-01,keras,12279
2018-03-01,shiny,193526
2018-03-01,tensorflow,11304
2018-03-01,tidyverse,123764
2018-04-01,caret,125214
2018-04-01,data.table,297276
2018-04-01,dplyr,424682
2018-04-01,e1071,130235
2018-04-01,ggplot2,511879
2018-04-01,keras,12633
2018-04-01,shiny,205157
2018-04-01,tensorflow,11314
2018-04-01,tidyverse,125144
2018-05-01,caret,103970
2018-05-01,data.table,384083
2018-05-01,dplyr,413331
2018-05-01,e1071,115823
2018-05-01,ggplot2,471528
2018-05-01,keras,11381
2018-05-01,shiny,221179
2018-05-01,tensorflow,9305
2018-05-01,tidyverse,114789
2018-06-01,caret,104803
2018-06-01,data.table,304389
2018-06-01,dplyr,424989
2018-06-01,e1071,97618
2018-06-01,ggplot2,439156
2018-06-01,keras,8944
2018-06-01,shiny,219952
2018-06-01,tensorflow,10235
2018-06-01,tidyverse,110154
2018-07-01,caret,89279
2018-07-01,data.table,277538
2018-07-01,dplyr,415631
2018-07-01,e1071,100928
2018-07-01,ggplot2,519154
2018-07-01,keras,8162
2018-07-01,shiny,208930
2018-07-01,tensorflow,9313
2018-07-01,tidyverse,107512
2018-08-01,caret,73763
2018-08-01,data.table,263909
2018-08-01,dplyr,390238
2018-08-01,e1071,109367
2018-08-01,ggplot2,478664
2018-08-01,keras,8570
2018-08-01,shiny,192421
2018-08-01,tensorflow,9800
2018-08-01,tidyverse,120938
2018-09-01,caret,99780
2018-09-01,data.table,403235
2018-09-01,dplyr,515888
2018-09-01,e1071,135042
2018-09-01,ggplot2,647281
2018-09-01,keras,12297
2018-09-01,shiny,261787
2018-09-01,tensorflow,11775
2018-09-01,tidyverse,221471
2018-10-01,caret,167287
2018-10-01,data.table,483384
2018-10-01,dplyr,676595
2018-10-01,e1071,171489
2018-10-01,ggplot2,809567
2018-10-01,keras,13867
2018-10-01,shiny,328860
2018-10-01,tensorflow,13015
2018-10-01,tidyverse,1060627
2018-11-01,caret,232339
2018-11-01,data.table,424741
2018-11-01,dplyr,682311
2018-11-01,e1071,167327
2018-11-01,ggplot2,809889
2018-11-01,keras,17509
2018-11-01,shiny,387140
2018-11-01,tensorflow,16323
2018-11-01,tidyverse,230717
2018-12-01,caret,118364
2018-12-01,data.table,330548
2018-12-01,dplyr,522059
2018-12-01,e1071,122788
2018-12-01,ggplot2,585313
2018-12-01,keras,15502
2018-12-01,shiny,315436
2018-12-01,tensorflow,15229
2018-12-01,tidyverse,189140
2019-01-01,caret,114489
2019-01-01,data.table,668709
2019-01-01,dplyr,671845
2019-01-01,e1071,157515
2019-01-01,ggplot2,726400
2019-01-01,keras,18389
2019-01-01,shiny,386263
2019-01-01,tensorflow,17076
2019-01-01,tidyverse,245615
2019-02-01,caret,118075
2019-02-01,data.table,666770
2019-02-01,dplyr,720155
2019-02-01,e1071,162907
2019-02-01,ggplot2,720326
2019-02-01,keras,15267
2019-02-01,shiny,418233
2019-02-01,tensorflow,14209
2019-02-01,tidyverse,257350
2019-03-01,caret,147484
2019-03-01,data.table,668349
2019-03-01,dplyr,775025
2019-03-01,e1071,211661
2019-03-01,ggplot2,771832
2019-03-01,keras,19673
2019-03-01,shiny,320731
2019-03-01,tensorflow,17329
2019-03-01,tidyverse,293785
2019-04-01,caret,137102
2019-04-01,data.table,729934
2019-04-01,dplyr,843488
2019-04-01,e1071,201927
2019-04-01,ggplot2,830500
2019-04-01,keras,23904
2019-04-01,shiny,417327
2019-04-01,tensorflow,25635
2019-04-01,tidyverse,296827
2019-05-01,caret,168162
2019-05-01,data.table,618185
2019-05-01,dplyr,987374
2019-05-01,e1071,201466
2019-05-01,ggplot2,830059
2019-05-01,keras,21031
2019-05-01,shiny,408716
2019-05-01,tensorflow,22647
2019-05-01,tidyverse,325985
2019-06-01,caret,134433
2019-06-01,data.table,444470
2019-06-01,dplyr,811089
2019-06-01,e1071,199034
2019-06-01,ggplot2,702976
2019-06-01,keras,14964
2019-06-01,shiny,307139
2019-06-01,tensorflow,16671
2019-06-01,tidyverse,351493
2019-07-01,caret,132193
2019-07-01,data.table,495586
2019-07-01,dplyr,918455
2019-07-01,e1071,178552
2019-07-01,ggplot2,712857
2019-07-01,keras,16678
2019-07-01,shiny,301116
2019-07-01,tensorflow,17556
2019-07-01,tidyverse,296532
